id;station_id;external_id;name;short_name;lat;lon;region_id;rental_methods_0;rental_methods_1;capacity;rental_url;electric_bike_surcharge_waiver;eightd_has_key_dispenser
1;37454;Directives application Home Loan Account;Dam;9997;5808;45924;86617;Savings Account alarm;Tasty Metal Bacon;93855;Electronics;Soap methodology Albania;Home Namibia
2;39986;Gorgeous Frozen Pants;Common;78517;61838;19967;38246;Planner Canyon;Credit Card Account Table Small Frozen Sausages;96563;cross-platform access;Public-key;infomediaries
3;12203;Buckinghamshire Games;incentivize Tuna copy;42515;52006;20794;54671;Chair Facilitator;Views e-enable Communications;72727;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account
4;27599;scalable;Small;98688;42340;77224;39488;24 hour;overriding;70685;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken
5;32518;pixel withdrawal;Mississippi embrace Developer;84891;76078;72172;56127;compress;Sleek Metal Table Small;43933;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia
6;20306;Brand;neutral Salad;92969;62435;80812;29563;Refined Squares;maroon;89255;Ghana back-end National;Direct;Profit-focused
7;42710;copying;ability Hat Iraq;48482;22210;69243;11986;24/7;Gloves sky blue Oklahoma;40383;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical
8;97661;paradigms Home;Investor Public-key;14489;53093;48945;44778;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;36778;invoice withdrawal;bypassing optical;installation
9;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;9617;17436;94052;69093;synthesize Creative;Forint;73521;azure;SMS Enhanced;Bacon Designer
10;51663;content-based Executive;Customer Human deposit;33902;27887;34920;70035;programming SCSI drive;invoice Unbranded Cheese;89855;Home Loan Account Tools Unbranded;Supervisor clear-thinking;Latvia
